PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,pvPolicy
FE_SCS1:FC_D0738:XRMS_RD,XRMS,XRMS,readback,25,0.0,FE_SCS1:FC_D0738,3.79507611,FC,LIVE,Faraday cup,FC2,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:FC_D0738:YRMS_RD,YRMS,YRMS,readback,25,0.0,FE_SCS1:FC_D0738,3.79507611,FC,LIVE,Faraday cup,FC2,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:VD_D0739:XCEN_RD,XCEN,XCEN,readback,27,0.0,FE_SCS1:VD_D0739,3.97541611,VD,LIVE,viewer,V1,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:VD_D0739:YCEN_RD,YCEN,YCEN,readback,27,0.0,FE_SCS1:VD_D0739,3.97541611,VD,LIVE,viewer,V1,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:VD_D0739:XRMS_RD,XRMS,XRMS,readback,27,0.0,FE_SCS1:VD_D0739,3.97541611,VD,LIVE,viewer,V1,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:VD_D0739:YRMS_RD,YRMS,YRMS,readback,27,0.0,FE_SCS1:VD_D0739,3.97541611,VD,LIVE,viewer,V1,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0743:V_CSET,V,V,setpoint,30,0.2052,FE_SCS1:QHE_D0743,4.39035413,EQUAD,LIVE,ES_quad_X,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0743:V_RSET,V,V,readset,30,0.2052,FE_SCS1:QHE_D0743,4.39035413,EQUAD,LIVE,ES_quad_X,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0743:V_RD,V,V,readback,30,0.2052,FE_SCS1:QHE_D0743,4.39035413,EQUAD,LIVE,ES_quad_X,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
FE_SCS1:QE_D0746:V_CSET,V,V,setpoint,32,0.2052,FE_SCS1:QVE_D0746,4.72535413,EQUAD,LIVE,ES_quad_Y,QUAD_Q7,DEFAULT,phantasy.sys.FE,phantasy.sub.SCS1,LEBT
