PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,,,
LS1_CA01:DCV_D1146:I_RD,I,ANG,readback,20,0,LS1_CA01:DCV_D1146,2.2606035,VCOR,LIVE,vert. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV4_D1150:PHA_CSET,PHA,PHASE,setpoint,23,0.24,LS1_CA01:CAV4_D1150,2.7750085,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV4_D1150:PHA_RSET,PHA,PHASE,readset,23,0.24,LS1_CA01:CAV4_D1150,2.7750085,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV4_D1150:PHA_RD,PHA,PHASE,readback,23,0.24,LS1_CA01:CAV4_D1150,2.7750085,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV4_D1150:AMPL_CSET,AMP,AMPLITUDE,setpoint,23,0.24,LS1_CA01:CAV4_D1150,2.7750085,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV4_D1150:AMPL_RSET,AMP,AMPLITUDE,readset,23,0.24,LS1_CA01:CAV4_D1150,2.7750085,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_CA01:CAV4_D1150:AMPL_RD,AMP,AMPLITUDE,readback,23,0.24,LS1_CA01:CAV4_D1150,2.7750085,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA01,LINAC
LS1_WA01:BPM_D1155:X_RD,X,XPOS,readback,27,0,LS1_WA01:BPM_D1155,3.096597,BPM,LIVE,position monitor,BPM2,phantasy.sys.LS1,phantasy.sub.WA01,LINAC
LS1_WA01:BPM_D1155:Y_RD,Y,YPOS,readback,27,0,LS1_WA01:BPM_D1155,3.096597,BPM,LIVE,position monitor,BPM2,phantasy.sys.LS1,phantasy.sub.WA01,LINAC
LS1_WA01:BPM_D1155:PHA_RD,PHA,PHASE,readback,27,0,LS1_WA01:BPM_D1155,3.096597,BPM,LIVE,position monitor,BPM2,phantasy.sys.LS1,phantasy.sub.WA01,LINAC
LS1_WA01:BPM_D1155:ENG_RD,ENG,ENERGY,readback,27,0,LS1_WA01:BPM_D1155,3.096597,BPM,LIVE,position monitor,BPM2,phantasy.sys.LS1,phantasy.sub.WA01,LINAC
LS1_CA02:CAV1_D1161:PHA_CSET,PHA,PHASE,setpoint,35,0.24,LS1_CA02:CAV1_D1161,3.8311815,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV1_D1161:PHA_RSET,PHA,PHASE,readset,35,0.24,LS1_CA02:CAV1_D1161,3.8311815,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV1_D1161:PHA_RD,PHA,PHASE,readback,35,0.24,LS1_CA02:CAV1_D1161,3.8311815,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV1_D1161:AMPL_CSET,AMP,AMPLITUDE,setpoint,35,0.24,LS1_CA02:CAV1_D1161,3.8311815,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV1_D1161:AMPL_RSET,AMP,AMPLITUDE,readset,35,0.24,LS1_CA02:CAV1_D1161,3.8311815,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV1_D1161:AMPL_RD,AMP,AMPLITUDE,readback,35,0.24,LS1_CA02:CAV1_D1161,3.8311815,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:BPM_D1163:X_RD,X,XPOS,readback,38,0,LS1_CA02:BPM_D1163,3.899373,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:BPM_D1163:Y_RD,Y,YPOS,readback,38,0,LS1_CA02:BPM_D1163,3.899373,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:BPM_D1163:PHA_RD,PHA,PHASE,readback,38,0,LS1_CA02:BPM_D1163,3.899373,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:BPM_D1163:ENG_RD,ENG,ENERGY,readback,38,0,LS1_CA02:BPM_D1163,3.899373,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:SOL1_D1165:I_CSET,I,B,setpoint,41,0.2,LS1_CA02:SOL1_D1165,4.2584595,SOL,LIVE,solenoid+correctors,SOL_S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:SOL1_D1165:I_RSET,I,B,readset,41,0.2,LS1_CA02:SOL1_D1165,4.2584595,SOL,LIVE,solenoid+correctors,SOL_S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:SOL1_D1165:I_RD,I,B,readback,41,0.2,LS1_CA02:SOL1_D1165,4.2584595,SOL,LIVE,solenoid+correctors,SOL_S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
